Country,Sex,variable,V1
GBR_SCO,Female,preds_boost,0.0848466509788279
GBR_SCO,Female,pred_LC_svd,0.11466051122443
GBR_SCO,Female,LCwithGAM,0.126750893115252
GBR_SCO,Female,RotatedLC,0.0846340491451129
GBR_SCO,Female,stacked,0.0849809940223217
GBR_SCO,Male,preds,0.141258923658333
GBR_SCO,Male,preds_boost,0.113309227041308
GBR_SCO,Male,pred_LC_svd,0.119957259239953
GBR_SCO,Male,LCwithGAM,0.127819366827895
GBR_SCO,Male,RotatedLC,0.155013318703821
GBR_SCO,Male,stacked,0.107980894652344
HUN,Female,preds,0.138804559902526
HUN,Female,preds_boost,0.112274088778358
HUN,Female,pred_LC_svd,0.0926606616114014
HUN,Female,LCwithGAM,0.284312481712957
HUN,Female,RotatedLC,0.202949839819941
HUN,Female,stacked,0.167168527956372
HUN,Male,preds,0.246536579037636
HUN,Male,preds_boost,0.187957345371926
HUN,Male,pred_LC_svd,0.269138733827047
HUN,Male,LCwithGAM,0.383410166054992
HUN,Male,RotatedLC,0.325815895811355
HUN,Male,stacked,0.264543857558962
IRL,Female,preds,0.182372822536321
IRL,Female,preds_boost,0.152122768297887
IRL,Female,pred_LC_svd,0.148047782975279
IRL,Female,LCwithGAM,0.224936129176883
IRL,Female,RotatedLC,0.105952398544431
IRL,Female,stacked,0.10607510208164
IRL,Male,preds,0.210964734585505
IRL,Male,preds_boost,0.167627693510598
IRL,Male,pred_LC_svd,0.184358639644514
IRL,Male,LCwithGAM,0.146017216894294
IRL,Male,RotatedLC,0.175341515699481
IRL,Male,stacked,0.147702491595057
ISL,Female,preds,0.202865821674292
ISL,Female,preds_boost,0.193759450936978
ISL,Female,pred_LC_svd,0.200557229754923
ISL,Female,LCwithGAM,43.1867275211093
ISL,Female,RotatedLC,0.43944254338808
ISL,Female,stacked,15.9538375115978
ISL,Male,preds,0.255502243767215
ISL,Male,preds_boost,0.235172767036424
ISL,Male,pred_LC_svd,0.262123359265721
ISL,Male,LCwithGAM,0.419544110497926
ISL,Male,RotatedLC,0.290644345370191
ISL,Male,stacked,0.301779531996199
ITA,Female,preds,0.10435066181044
ITA,Female,preds_boost,0.0855195766019519
ITA,Female,pred_LC_svd,0.0248407343873141
ITA,Female,LCwithGAM,0.0445765481477159
ITA,Female,RotatedLC,0.0402579441703852
ITA,Female,stacked,0.033816646197885
ITA,Male,preds,0.189425068847982
ITA,Male,preds_boost,0.150352871791539
ITA,Male,pred_LC_svd,0.0905392384094348
ITA,Male,LCwithGAM,0.120868954544069
ITA,Male,RotatedLC,0.0722264400193425
ITA,Male,stacked,0.101302053858139
JPN,Female,preds,0.104128633270291
JPN,Female,preds_boost,0.0699000113668042
JPN,Female,pred_LC_svd,0.135168738860501
JPN,Female,LCwithGAM,0.0242357423500786
JPN,Female,RotatedLC,0.0737158490457674
JPN,Female,stacked,0.0349671219566532
JPN,Male,preds,0.0790443677045647
JPN,Male,preds_boost,0.0586577021463111
JPN,Male,pred_LC_svd,0.0463301351541176
JPN,Male,LCwithGAM,0.0288484241485711
JPN,Male,RotatedLC,0.0378130849495408
JPN,Male,stacked,0.0378952726400561
LTU,Female,preds,0.16048880667486
LTU,Female,preds_boost,0.139654101165762
LTU,Female,pred_LC_svd,0.139867365288471
LTU,Female,LCwithGAM,0.349304006835788
LTU,Female,RotatedLC,0.254491689115122
LTU,Female,stacked,0.231929388857893
LTU,Male,preds,0.210714534537143
LTU,Male,preds_boost,0.168876964043775
LTU,Male,pred_LC_svd,0.23454754449175
LTU,Male,LCwithGAM,0.121786580407906
LTU,Male,RotatedLC,0.28108786410894
LTU,Male,stacked,0.179007710975049
LUX,Female,preds,0.197964389385671
LUX,Female,preds_boost,0.187138702693711
LUX,Female,pred_LC_svd,0.195637529882499
LUX,Female,LCwithGAM,0.354906468393764
LUX,Female,RotatedLC,0.259794530922049
LUX,Female,stacked,0.256129330274472
LUX,Male,preds,0.281278955301503
LUX,Male,preds_boost,0.252507804385558
LUX,Male,pred_LC_svd,0.238252964981571
LUX,Male,LCwithGAM,0.287776390465764
LUX,Male,RotatedLC,0.268930119092819
LUX,Male,stacked,0.260075522759839
LVA,Female,preds,0.212001560317374
LVA,Female,preds_boost,0.188790347488864
LVA,Female,pred_LC_svd,0.187673359828558
LVA,Female,LCwithGAM,0.261811267866462
LVA,Female,RotatedLC,0.29511909112318
LVA,Female,stacked,0.242779388748522
LVA,Male,preds,0.328810168939368
LVA,Male,preds_boost,0.275559100539441
LVA,Male,pred_LC_svd,0.356784494900049
LVA,Male,LCwithGAM,0.361668705567435
LVA,Male,RotatedLC,0.300366986328135
LVA,Male,stacked,0.279669718495336
NLD,Female,preds,0.0587911932257147
NLD,Female,preds_boost,0.054122728867175
NLD,Female,pred_LC_svd,0.0510583539099672
NLD,Female,LCwithGAM,0.0718645276073431
NLD,Female,RotatedLC,0.0494480558589592
NLD,Female,stacked,0.0493109260244457
NLD,Male,preds,0.131141799568303
NLD,Male,preds_boost,0.0916721514129035
NLD,Male,pred_LC_svd,0.109764065360925
NLD,Male,LCwithGAM,0.0764182977485973
NLD,Male,RotatedLC,0.0839320534885109
NLD,Male,stacked,0.0801719932436178
NOR,Female,preds,0.103027486648082
NOR,Female,preds_boost,0.0948595065293242
NOR,Female,pred_LC_svd,0.100322022385593
NOR,Female,LCwithGAM,0.0994651058735598
NOR,Female,RotatedLC,0.0986791065542881
NOR,Female,stacked,0.0923249169387206
NOR,Male,preds,0.197361065921902
NOR,Male,preds_boost,0.14795002314709
NOR,Male,pred_LC_svd,0.154905581993825
NOR,Male,LCwithGAM,1.26659723753627
NOR,Male,RotatedLC,0.116314189429452
NOR,Male,stacked,0.588115933756726
NZL_NP,Female,preds,0.0960357832435001
NZL_NP,Female,preds_boost,0.0888149388675208
NZL_NP,Female,pred_LC_svd,0.096516026473236
NZL_NP,Female,LCwithGAM,0.0893142773213283
NZL_NP,Female,RotatedLC,0.0781538067729615
NZL_NP,Female,stacked,0.0824021949945951
NZL_NP,Male,preds,0.133054731636375
NZL_NP,Male,preds_boost,0.104909350554731
NZL_NP,Male,pred_LC_svd,0.111974079573959
NZL_NP,Male,LCwithGAM,0.0955795005894688
NZL_NP,Male,RotatedLC,0.0958764818899089
NZL_NP,Male,stacked,0.0950322744338697
