basis_form,k_base,mse_male_validation,mse_female_validation,mse_male_test,mse_female_test,Country
tp,4,0.0744927649596118,0.101022580665442,0.737475776817276,0.695548232148281,DEUTE
tp,5,0.605965416781864,0.236354464467847,6.78871446478073,2.14000700456542,DEUTE
tp,6,0.0915507608612898,0.20424435329167,0.835585978986735,1.83099518880597,DEUTE
tp,7,0.0915507785843886,0.204244285614781,0.83558613711801,1.83099439370615,DEUTE
ts,2,0.0522641428500234,0.0654253940708061,0.341915549715908,0.261533224325134,DEUTE
ts,3,0.096492251524362,0.083359041573096,1.00385702512321,0.534738153321319,DEUTE
ts,4,0.0738545364050264,0.0997299481001251,0.728502534695564,0.681681017995315,DEUTE
ts,5,0.605606191107681,0.234785139120494,6.78534228030948,2.12400603978343,DEUTE
ts,6,0.0874821696175709,0.0930897768036285,0.858767619964083,0.606442950375132,DEUTE
ts,7,0.0874821696397381,0.0930897768036155,0.858767620201691,0.606442950374953,DEUTE
cs,2,0.0175275957674503,0.0103934483150141,0.11197494244204,0.0297661156142558,DEUTW
cs,3,0.0196238694944034,0.0131300454663616,0.18636074812269,0.0572912706869585,DEUTW
cs,4,0.0393369806726477,0.0193522795363195,0.439618344574464,0.10805364625576,DEUTW
cs,5,0.035556776939973,0.020971388604031,0.393680121820924,0.118390649326868,DEUTW
cs,6,0.0372420248451097,0.0211991768488275,0.414643716749867,0.12047801863785,DEUTW
cs,7,0.0372420248451096,0.0211991768488274,0.414643716749867,0.120478018637848,DEUTW
tp,2,0.0173518926957609,0.0105314720306626,0.111333978139522,0.0305834233885717,DEUTW
tp,3,0.020161090639621,0.0127860883151004,0.196438863354542,0.0560604790279254,DEUTW
tp,4,0.0440836034600286,0.0155199091113065,0.475080560107571,0.0789730973019866,DEUTW
tp,5,0.0384268747127958,0.0206080420054893,0.42772311686172,0.118708768480011,DEUTW
tp,6,0.026275337240863,0.0127794107693879,0.258563553491634,0.0610548874032422,DEUTW
tp,7,0.026275332737959,0.0127794107843866,0.258563501762855,0.0610548877219566,DEUTW
ts,2,0.0171906951269023,0.0104192923865378,0.110821947743851,0.0302808713206917,DEUTW
ts,3,0.0200490926705491,0.0127397320087117,0.194511612848715,0.055402518477475,DEUTW
ts,4,0.0444595426856021,0.0154907532046262,0.477820975798296,0.0785880593641175,DEUTW
ts,5,0.0378836414280859,0.0203997742749514,0.421167751164269,0.116403589803966,DEUTW
ts,6,0.0406995331041397,0.0127367350344266,0.416777949380368,0.0604996578880306,DEUTW
ts,7,0.0406995368301763,0.0127367343058937,0.416777989009843,0.0604996375171659,DEUTW
cs,2,0.0322508185977777,0.0514930931933936,0.179607710399476,0.17421363644463,GRC
cs,3,0.0313598661501555,0.051222472012193,0.160219819515296,0.168450426157518,GRC
cs,4,0.0314068282537601,0.0510912121356984,0.159895745095118,0.166151671665089,GRC
cs,5,0.0314068282537601,0.0510912121356984,0.159895745095118,0.166151671665088,GRC
cs,6,0.0314068282537601,0.0510912121356984,0.159895745095118,0.166151671665089,GRC
cs,7,0.0314068282537601,0.0510912121356984,0.159895745095118,0.166151671665089,GRC
tp,2,0.030298345719553,0.0528832656754586,0.156121699515695,0.178715837064257,GRC
tp,3,0.0321214007507702,0.0514324531159107,0.170022651415446,0.170217855294907,GRC
tp,4,0.0326710554256305,0.0491335919128403,0.178043671284895,0.134157604286059,GRC
tp,5,0.0326710554256302,0.0491335919128404,0.178043671284893,0.134157604286059,GRC
tp,6,0.0326710554256301,0.0491335919128403,0.178043671284892,0.134157604286059,GRC
tp,7,0.0326710554256303,0.0491335919128404,0.178043671284894,0.134157604286059,GRC
ts,2,0.0340188356752177,0.0515493157727327,0.190210304461531,0.166607666937776,GRC
ts,3,0.0305864894425014,0.0566679991037001,0.149257449294069,0.203066045157354,GRC
ts,4,0.0284059773213655,0.0492638404013598,0.138329277538464,0.135126998676948,GRC
ts,5,0.0284059773213655,0.0492638404013599,0.138329277538463,0.135126998676949,GRC
ts,6,0.0284059773213655,0.0492638404013598,0.138329277538464,0.135126998676948,GRC
ts,7,0.0284059773213655,0.0492638404013598,0.138329277538464,0.135126998676948,GRC
cs,2,0.112324318058729,0.149204892130844,0.440441423263314,0.571596308679367,HKG
cs,3,0.106603573742726,0.147437090388581,0.462107073973661,0.607503254238948,HKG
cs,4,0.106603573742726,0.147437087833887,0.46210707397366,0.607503224300808,HKG
cs,5,0.106603573742726,0.147437089402538,0.462107073973658,0.607503241561894,HKG
cs,6,0.106603573742726,0.147437089402538,0.462107073973658,0.607503241561894,HKG
cs,7,0.106603573742726,0.147437089402538,0.462107073973658,0.607503241561894,HKG
tp,2,0.110350215434928,0.151560543013308,0.405195002639908,0.577947500143125,HKG
tp,3,0.10554843822583,0.203538935851004,0.424077061202872,1.20654050824113,HKG
tp,4,0.10554843822583,0.203538935851002,0.424077061202865,1.20654050824112,HKG
tp,5,0.10554843822583,0.203538935851001,0.424077061202866,1.2065405082411,HKG
tp,6,0.10554843822583,0.203538935851001,0.424077061202866,1.2065405082411,HKG
tp,7,0.10554843822583,0.203538935851001,0.424077061202866,1.2065405082411,HKG
ts,2,0.110424280198481,0.158423431956227,0.399162699506283,0.636436859788519,HKG
ts,3,0.103492410280941,0.209050216878738,0.356727932593718,1.12834737776759,HKG
ts,4,0.103492410280941,0.209050216878739,0.356727932593719,1.1283473777676,HKG
ts,5,0.103492410280941,0.209050216878738,0.356727932593719,1.1283473777676,HKG
ts,6,0.103492410280941,0.209050216878738,0.356727932593719,1.1283473777676,HKG
ts,7,0.103492410280941,0.209050216878738,0.356727932593719,1.1283473777676,HKG
cs,2,0.0610602769101311,0.0566984598144279,0.501099989210711,0.362297579868647,HUN
